1a. State,1b. LEA or entity name,1c. LEA ID,1f. City,2c. Fleet operator 1,2c. Fleet operator 2,3a. Number of ESBs committed ,3n. Current status of bus,3o. Batch,3p. Quarter awarded,3q. Quarter ordered,3r. Quarter delivered,3s. Quarter first operating,3t. Bus OEM,3u. Electric powertrain manufacturer,3v. Model,3w. Type,3x. Dealer,3y. Multiple funding sources used?,3z. Funding source 1,3aa. Agency administering funds 1,3z. Funding source 2,3aa. Agency administering funds 2,3z. Funding source 3,3aa. Agency administering funds 3,3z. Funding source 4,3aa. Agency administering funds 4,3ab. Dollar amount toward bus,3ac. Charging company,3ad. Charging funding source,3ae. Dollar amount toward charger,0a. Has committed ESBs?,1a. State_district,1b. Local Education Agency (LEA) or entity name,1d. Street address 1,1e. Street address 2,1f. City_district,1g. State,1h. ZIP code,1i. Website,1j. Has LEA ID?,1k. LEA type (number),1l. LEA type (name),1m. Supervisory union LEA ID,1n. Locale (full number),1o. Locale broad type (number),1p. Locale broad type (name),1q. Census Region,1r. Census Division,1s. Latitude,1t. Longitude ,2a. Total number of buses,2b. Contractor used for some or all of buses?,3a. Number of ESBs committed _district,3b. Number of delivered or operating ESBs,3c. Number of ESBs awarded,3d. Number of ESBs ordered,3e. Number of ESBs delivered,3f. Number of ESBs operating,3g. Number of batches,3h. Size of batch 1,3h. Size of batch 2,3h. Size of batch 3,3h. Size of batch 4,3h. Size of batch 5,3i. Percent of fleet that is electric,3j. Government agency involved (non-funding),3k. Utility/energy company involved 1,3k. Utility/energy company involved 2,3k. Utility/energy company involved 3,3l. Other groups involved 1,3l. Other groups involved 2,3l. Other groups involved 3,3m. Other notes,4a. Tribal school district?,4b. Number of students in district,4c. Number of schools in district,4d. Percentage of schools in district that are Title I schoolwide eligible,4e. Percentage of students in district eligible for free or reduced price lunch,4f. Median household income,4g. Percent of population below the poverty level,4h. Percent one race: White ,4i. Percent race alone or multiracial: White,4j. Percent one race: Black or African American ,4k. Percent race alone or multiracial: Black or African American,4l. Percent one race: American Indian and Alaska Native ,4m. Percent race alone or multiracial: American Indian and Alaska Native,4n. Percent one race: Asian ,4o. Percent race alone or multiracial: Asian,4p. Percent one race: Native Hawaiian and Other Pacific Islander ,4q. Percent race alone or multiracial: Native Hawaiian and Other Pacific Islander,4r. Percent one race: some other race ,4s. Percent race alone or multiracial: Some other race,4t. Percent two or more races,4u. Percent Hispanic or Latino (of any race) ,5a. EPA Region,5b. Percent non-white and/or Hispanic,5c. Quartile: percent non-white and/or Hispanic,5d. Percent low-income (200% of federal poverty level),5e. Quartile: percent low-income,5f. PM2.5 concentration,5g. Quartile: PM2.5 concentration,5h. Ozone concentration,5i. Quartile: ozone concentration,5j. Percent of school children with a disability,5k. Quartile: percent of school children with a disability,5l. Average rate of asthma among adults aged 18 and older,5m. Quartile: average rate of asthma,5n. Qualified for American Rescue Plan funding? ,5o. EPA 2022 Clean School Bus Rebate Program prioritized school district?,5p. EPA 2023 Clean School Bus Grant & Rebate Programs prioritized school district?,5q. WRI Priority Outreach District (POD)?,6a. Has any expression of interest in ESBs?,6b. ARP 2021 waitlist position,6c. DERA school bus rebates 2020 waitlist position,6d. DERA school bus rebates 2021 waitlist position,6e. Applied for ESB funding but not awarded
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
ALABAMA,Albertville City,100005,Albertville,,,19,Operating,1.0,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,375000.0,,,20000.0,yes,ALABAMA,Albertville City,8379 US Highway 431,,Albertville,AL,35950.0,http://www.albertk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.282186,-86.223627,69.0,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,,,,,,,,,No,5900.0,6.0,1.0,0.7733898305084745,51718.0,0.20800000000000002,0.851,0.917,0.037000000000000005,0.038,0.002,0.00037999999999999997,0.012,0.013999999999999999,0.0,0.001,0.031,0.08199999999999999,0.067,0.298,4.0,0.30626533,3.0,0.44078775,4.0,8.850992736,4.0,60.48419572,3.0,0.01,1.0,0.100235909145535,3.0,No,Yes,Yes,False,1.0,,,,
